req_id,arrival_time,prefill_length,decode_length,completion_time,total_delay,waiting_time,execution_time,swap_count,total_swapped_time,sacrifice_count
309,59.3093,20,20,64.5714,5.2621,0.4146,4.8475,0,0.0000,0
310,59.4226,20,20,64.5714,5.1488,0.3013,4.8475,0,0.0000,0
311,59.4386,20,20,64.5714,5.1328,0.2853,4.8475,0,0.0000,0
312,59.4437,20,20,64.5714,5.1277,0.2802,4.8475,0,0.0000,0
313,60.0883,20,20,65.4262,5.3379,0.3787,4.9592,0,0.0000,0
314,60.4427,20,20,65.7473,5.3046,0.2420,5.0626,0,0.0000,0
315,60.6762,20,20,66.0796,5.4034,0.2400,5.1634,0,0.0000,0
316,60.7793,20,20,66.4166,5.6373,0.3693,5.2680,0,0.0000,0
317,60.8166,20,20,66.4166,5.6000,0.3320,5.2680,0,0.0000,0
318,60.8500,20,20,66.4166,5.5666,0.2986,5.2680,0,0.0000,0
319,60.9064,20,20,66.4166,5.5102,0.2422,5.2680,0,0.0000,0
320,61.0627,20,20,66.7259,5.6632,0.3264,5.3368,0,0.0000,0
321,61.3085,20,20,67.0594,5.7509,0.3226,5.4283,0,0.0000,0
322,61.5202,20,20,67.3981,5.8779,0.3677,5.5102,0,0.0000,0
323,61.5846,20,20,67.3981,5.8135,0.3033,5.5102,0,0.0000,0
324,62.1920,20,20,68.4647,6.2727,0.3849,5.8878,0,0.0000,0
325,62.4546,20,20,68.8514,6.3968,0.3384,6.0584,0,0.0000,0
326,62.6131,20,20,69.2509,6.6378,0.3967,6.2411,0,0.0000,0
327,62.7986,20,20,69.6500,6.8514,0.4286,6.4229,0,0.0000,0
328,62.9052,20,20,69.6500,6.7448,0.3220,6.4229,0,0.0000,0
329,62.9611,20,20,69.6500,6.6889,0.2661,6.4229,0,0.0000,0
330,63.0473,20,20,70.0290,6.9817,0.4245,6.5573,0,0.0000,0
331,63.3254,20,20,70.4471,7.1217,0.4057,6.7160,0,0.0000,0
332,63.3282,20,20,70.4471,7.1189,0.4029,6.7160,0,0.0000,0
333,63.3524,20,20,70.4471,7.0947,0.3787,6.7160,0,0.0000,0
334,63.3617,20,20,70.4471,7.0854,0.3694,6.7160,0,0.0000,0
335,63.3698,20,20,70.4471,7.0773,0.3613,6.7160,0,0.0000,0
336,63.7491,20,20,71.2454,7.4963,0.5416,6.9547,0,0.0000,0
337,63.9876,20,20,71.2454,7.2578,0.3031,6.9547,0,0.0000,0
338,64.1136,20,20,71.6650,7.5514,0.4578,7.0936,0,0.0000,0
339,64.1338,20,20,71.6650,7.5312,0.4376,7.0936,0,0.0000,0
340,64.2664,20,20,71.6650,7.3986,0.3050,7.0936,0,0.0000,0
341,64.3922,20,20,72.0725,7.6803,0.4370,7.2434,0,0.0000,0
342,64.4295,20,20,72.0725,7.6430,0.3997,7.2434,0,0.0000,0
