time,req_id,current_decode_position,memory_freed,running_count_same_position,total_running_count
5770.3660,29486,0,20,9,323
5770.3660,29457,0,20,25,339
5770.3660,29458,0,20,24,338
5770.3660,29459,0,20,23,337
5770.3660,29460,0,20,22,336
5770.3660,29461,0,20,21,335
5770.3660,29462,0,20,20,334
5770.3660,29463,0,20,19,333
5770.3660,29464,0,20,18,332
5770.3660,29465,0,20,17,331
5770.3660,29479,0,20,16,330
5770.3660,29480,0,20,15,329
5770.3660,29481,0,20,14,328
5773.5616,29482,0,20,15,324
5773.5616,29483,0,20,14,323
5773.5616,29484,0,20,13,322
5773.5616,29485,0,20,12,321
5773.5616,29486,0,20,11,320
5773.5616,29457,0,20,27,336
5773.5616,29458,0,20,26,335
5773.5616,29459,0,20,25,334
5773.5616,29460,0,20,24,333
5773.5616,29461,0,20,23,332
5773.5616,29462,0,20,22,331
5773.5616,29463,0,20,21,330
5773.5616,29464,0,20,20,329
5773.5616,29465,0,20,19,328
5773.5616,29479,0,20,18,327
5773.5616,29480,0,20,17,326
5773.5616,29481,0,20,16,325
5776.7569,29457,0,20,38,336
5776.7569,29458,0,20,37,335
5776.7569,29459,0,20,36,334
5776.7569,29460,0,20,35,333
5776.7569,29461,0,20,34,332
5776.7569,29462,0,20,33,331
5776.7569,29463,0,20,32,330
5776.7569,29464,0,20,31,329
5776.7569,29465,0,20,30,328
5776.7569,29479,0,20,29,327
5776.7569,29480,0,20,28,326
5776.7569,29481,0,20,27,325
5783.1463,29541,0,20,16,331
5783.1463,29542,0,20,15,330
5783.1463,29543,0,20,14,329
5783.1463,29544,0,20,13,328
5783.1463,29545,0,20,12,327
5783.1463,29546,0,20,11,326
5783.1463,29539,0,20,18,333
5783.1463,29540,0,20,17,332
5786.3406,29539,0,20,22,329
5786.3406,29540,0,20,21,328
5789.5372,29539,0,20,13,327
5789.5372,29540,0,20,12,326
5789.5372,29571,0,20,11,325
5894.7400,30103,0,20,25,330
5894.7400,30104,0,20,24,329
5894.7400,30105,0,20,23,328
5894.7400,30106,0,20,22,327
5894.7400,30107,0,20,21,326
5894.7400,30108,0,20,20,325
5894.7400,30099,0,20,29,334
5894.7400,30100,0,20,28,333
5894.7400,30101,0,20,27,332
5894.7400,30102,0,20,26,331
5897.9338,30103,0,20,18,328
5897.9338,30104,0,20,17,327
5897.9338,30105,0,20,16,326
5897.9338,30106,0,20,15,325
5897.9338,30107,0,20,14,324
5897.9338,30108,0,20,13,323
5897.9338,30099,0,20,22,332
5897.9338,30100,0,20,21,331
5897.9338,30101,0,20,20,330
5897.9338,30102,0,20,19,329
5901.1281,30099,0,20,28,330
5901.1281,30100,0,20,27,329
5901.1281,30101,0,20,26,328
5901.1281,30102,0,20,25,327
6843.5018,34949,0,20,15,322
6843.5018,34950,0,20,14,321
6843.5018,34951,0,20,13,320
6843.5018,34952,0,20,12,319
6987.1911,35708,0,20,17,333
6996.7508,35769,0,20,7,331
6996.7508,35770,0,20,6,330
6996.7508,35768,0,20,8,332
6996.7508,35763,0,20,13,337
6996.7508,35764,0,20,12,336
6996.7508,35765,0,20,11,335
6996.7508,35766,0,20,10,334
6996.7508,35767,0,20,9,333
6999.9506,35784,0,20,4,323
6999.9506,35769,0,20,14,333
6999.9506,35770,0,20,13,332
6999.9506,35776,0,20,12,331
6999.9506,35777,0,20,11,330
6999.9506,35778,0,20,10,329
6999.9506,35779,0,20,9,328
6999.9506,35780,0,20,8,327
6999.9506,35781,0,20,7,326
6999.9506,35782,0,20,6,325
6999.9506,35783,0,20,5,324
6999.9506,35768,0,20,15,334
6999.9506,35763,0,20,20,339
6999.9506,35764,0,20,19,338
